'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'ann',1,1,0.127304,0.52131,0,20,1.010772395,0.017947118,0.002771254,0.136277559,0.52131,37.29909969,0.118330441,0.52131,37.70090031,0.04397619,0.33097619,0.009,0.02847619,0.34997619,0.009809524,0.053426255,0.055465217,0.010619538,0.053256721,0.058085162,0.011506665,0.003218521,0.13902258,0.516287615,42.15042818,0.120769276,0.516002522,42.54410704,0.051761905,0.372309524,0.012547619,0.033666667,0.39402381,0.013595238,0.060754081,0.062878848,0.014316445,0.060503447,0.065880762,0.015449833
'ann',1,0,0.127304,0.52131,0,25,1.01499577,0.024931239,0.003837839,0.13976962,0.52131,37.22092181,0.11483838,0.52131,37.77907819,0.046952381,0.327333333,0.008857143,0.025428571,0.353738095,0.009952381,0.053460778,0.05496513,0.010461529,0.053225287,0.058601683,0.011665286,0.004458079,0.142587382,0.516337091,42.07511708,0.117215864,0.515964474,42.62160758,0.055261905,0.368142857,0.012357143,0.030119048,0.398309524,0.013785714,0.060808252,0.062305547,0.014109289,0.060456678,0.066471307,0.015657613
'ann',1,1,0.127304,0.52131,0,25,1.01499577,0.024931239,0.003837839,0.13976962,0.52131,37.22092181,0.11483838,0.52131,37.77907819,0.046952381,0.327333333,0.008857143,0.025428571,0.353738095,0.009952381,0.053460778,0.05496513,0.010461529,0.053225287,0.058601683,0.011665286,0.004458079,0.142587382,0.516337091,42.07511708,0.117215864,0.515964474,42.62160758,0.055261905,0.368142857,0.012357143,0.030119048,0.398309524,0.013785714,0.060808252,0.062305547,0.014109289,0.060456678,0.066471307,0.015657613
'ann',1,0,0.127304,0.52131,45,2,1.001193397,0.00342286,0.001017287,0.128514164,0.522520164,37.47763716,0.126093836,0.520099836,37.52236284,0.03752381,0.339119048,0.008952381,0.03502381,0.341714286,0.009857143,0.053349002,0.05652797,0.010614076,0.053335199,0.057006786,0.011511526,0.001263209,0.131125145,0.517473831,42.32682931,0.128676704,0.514813198,42.36790573,0.044238095,0.381619048,0.0125,0.041285714,0.384571429,0.013642857,0.06063981,0.064090015,0.014316798,0.060615736,0.064650197,0.01544875
'ann',1,1,0.127304,0.52131,45,2,1.001940927,0.005564825,0.001659849,0.129271463,0.523277463,37.46364289,0.125336537,0.519342537,37.53635711,0.038309524,0.338309524,0.008666667,0.034214286,0.342547619,0.010142857,0.05335403,0.056378226,0.010330723,0.053329063,0.057159493,0.011794997,0.002053728,0.131875391,0.518351383,42.31045108,0.127918276,0.513949778,42.3819525,0.045142857,0.380690476,0.012142857,0.040357143,0.3855,0.014,0.060643297,0.063913406,0.013963023,0.060607936,0.064825995,0.015802514
'ann',1,0,0.127304,0.52131,45,4,1.001136536,0.003259867,0.000964607,0.128456537,0.522462537,37.47870206,0.126151463,0.520157463,37.52129794,0.03747619,0.339190476,0.00897619,0.035071429,0.341666667,0.009833333,0.053352353,0.056541685,0.010637719,0.053335054,0.056996843,0.011488013,0.001209378,0.13106419,0.517416521,42.32778579,0.128736964,0.514869823,42.36695379,0.044166667,0.381690476,0.01252381,0.041357143,0.3845,0.013619048,0.060638847,0.06410292,0.01434043,0.060616699,0.064637293,0.015425118
'ann',1,1,0.127304,0.52131,45,4,1.001250708,0.003587136,0.001069322,0.128572244,0.522578244,37.47656388,0.126035756,0.520041756,37.52343612,0.037595238,0.339071429,0.008928571,0.034952381,0.341785714,0.009880952,0.053353171,0.056518838,0.010590574,0.053334236,0.05701969,0.011535158,0.001317046,0.131186115,0.517531157,42.32587271,0.12861646,0.514756589,42.36885756,0.044309524,0.381547619,0.01247619,0.041214286,0.384642857,0.013666667,0.060640773,0.06407711,0.014293167,0.060614773,0.064663102,0.015472381
'ann',1,0,0.127304,0.52131,45,8,1.000847978,0.002432563,0.000723699,0.128164041,0.522170041,37.48410714,0.126443959,0.520449959,37.51589286,0.037166667,0.3395,0.009071429,0.035380952,0.341357143,0.009714286,0.053347393,0.056596268,0.010732362,0.053337654,0.056938244,0.011370091,0.000893297,0.130759668,0.517130197,42.33256651,0.129026903,0.515217849,42.36135141,0.043809524,0.382071429,0.012666667,0.041714286,0.384142857,0.01347619,0.060639598,0.064175234,0.014481994,0.060619154,0.064568751,0.015283683
'ann',1,1,0.127304,0.52131,45,8,1.001250708,0.003587136,0.001069322,0.128572244,0.522578244,37.47656388,0.126035756,0.520041756,37.52343612,0.037595238,0.339071429,0.008928571,0.034952381,0.341785714,0.009880952,0.053353171,0.056518838,0.010590574,0.053334236,0.05701969,0.011535158,0.001317046,0.131186115,0.517531157,42.32587271,0.12861646,0.514756589,42.36885756,0.044309524,0.381547619,0.01247619,0.041214286,0.384642857,0.013666667,0.060640773,0.06407711,0.014293167,0.060614773,0.064663102,0.015472381
'ann',1,0,0.127304,0.52131,45,10,1.002251516,0.006454313,0.001926179,0.129585944,0.523591944,37.45783154,0.125022056,0.519028056,37.54216846,0.038642857,0.33797619,0.008547619,0.033880952,0.342880952,0.010261905,0.053357737,0.056316664,0.010212684,0.053325356,0.057221055,0.011913036,0.00237302,0.132194505,0.518702375,42.3047793,0.127606211,0.513606435,42.38758031,0.04552381,0.380309524,0.012,0.04,0.385904762,0.014142857,0.06064686,0.063841902,0.01382147,0.060611892,0.064902083,0.015944208
