'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'mij',1,1,0.127304,0.52131,0,20,1.004075581,0.010903747,0.001547779,0.132755874,0.52131,37.42373825,0.121852126,0.52131,37.57626175,0.04102381,0.335095238,0.009166667,0.0315,0.345785714,0.009619048,0.053462525,0.056045594,0.010803425,0.053221414,0.057491881,0.011299146,0.001793384,0.135454497,0.51623614,42.28112874,0.124358755,0.516044784,42.4151108,0.048309524,0.377,0.012785714,0.037214286,0.389214286,0.013357143,0.060783789,0.063544811,0.014573027,0.060474963,0.065199174,0.01519265
'mij',1,0,0.127304,0.52131,0,25,1.006490827,0.017344617,0.002462143,0.135976308,0.52131,37.37869069,0.118631692,0.52131,37.62130931,0.043809524,0.331952381,0.009047619,0.028690476,0.34897619,0.009761905,0.053532226,0.055622276,0.010671318,0.053156171,0.057925951,0.011454778,0.002864999,0.138722074,0.516287829,42.23968,0.121076984,0.515997123,42.45535658,0.051571429,0.373404762,0.012619048,0.033904762,0.392857143,0.013547619,0.060874129,0.063057978,0.014392138,0.060384768,0.065695949,0.015397053
'mij',1,1,0.127304,0.52131,0,25,1.005452161,0.014576779,0.00207808,0.13459239,0.52131,37.3980499,0.12001561,0.52131,37.6019501,0.042619048,0.333285714,0.009095238,0.029904762,0.347595238,0.009714286,0.053500801,0.055801084,0.010724538,0.053185498,0.057740408,0.011401312,0.002411502,0.137315707,0.516264839,42.2561803,0.122491366,0.516018081,42.43943536,0.050166667,0.374952381,0.012690476,0.035333333,0.391309524,0.01347619,0.060835095,0.063267467,0.014469696,0.060428115,0.065487271,0.015319507
'mij',1,0,0.127304,0.52131,45,2,1.000070008,0.00056284,0.000158409,0.127502994,0.521508994,37.49868739,0.127105006,0.521111006,37.50131261,0.03647619,0.340238095,0.009333333,0.036071429,0.340619048,0.00947619,0.053347642,0.056733917,0.010992095,0.053339765,0.056804611,0.011133636,0.000207752,0.130111221,0.516374375,42.34704528,0.129704316,0.51590494,42.34998769,0.04302381,0.382880952,0.01297619,0.04252381,0.383333333,0.013166667,0.06063693,0.064328995,0.014788625,0.060626136,0.0644158,0.014977064
'mij',1,1,0.127304,0.52131,45,2,1.00006257,0.000503037,0.000157187,0.12748185,0.52148785,37.49882686,0.12712615,0.52113215,37.50117314,0.036452381,0.340238095,0.009333333,0.036095238,0.340595238,0.00947619,0.053343328,0.056733107,0.010992084,0.053340873,0.056801648,0.011133519,0.000159835,0.130098656,0.516312025,42.34792413,0.129716814,0.51596718,42.34910907,0.043,0.382904762,0.013,0.042547619,0.383309524,0.013142857,0.060638182,0.064335975,0.014812021,0.060624884,0.064408821,0.014953668
'mij',1,0,0.127304,0.52131,45,4,1.000125121,0.001005895,0.000289899,0.127659638,0.521665638,37.49765413,0.126948362,0.520954362,37.50234587,0.036642857,0.340071429,0.009261905,0.035904762,0.340761905,0.00952381,0.053348316,0.056701128,0.010921437,0.053333525,0.056829611,0.011180887,0.000363159,0.130266293,0.516551028,42.34650832,0.129549657,0.515728751,42.35052245,0.043214286,0.382714286,0.012904762,0.042333333,0.3835,0.013238095,0.060641917,0.064297016,0.014717978,0.060621149,0.064447779,0.015047711
'mij',1,1,0.127304,0.52131,45,4,1.000139427,0.001120902,0.000316692,0.127700299,0.521706299,37.49738592,0.126907701,0.520913701,37.50261408,0.036690476,0.340047619,0.009261905,0.035857143,0.340809524,0.009547619,0.053353737,0.056698976,0.010921331,0.05333367,0.056839553,0.011204401,0.000391455,0.130302948,0.516610774,42.34559141,0.129501622,0.515734074,42.3505975,0.043261905,0.382666667,0.012880952,0.042285714,0.383547619,0.013238095,0.060641773,0.064287074,0.014694464,0.060618933,0.064453705,0.015047946
'mij',1,0,0.127304,0.52131,45,8,1.000165817,0.001333041,0.000370525,0.127775301,0.521781301,37.49689119,0.126832699,0.520838699,37.50310881,0.036761905,0.33997619,0.009238095,0.035785714,0.340880952,0.009571429,0.0533547,0.056686071,0.010897699,0.053332707,0.056852458,0.011228032,0.000467654,0.130384798,0.516668033,42.34688779,0.129431568,0.515612173,42.35014071,0.043357143,0.382595238,0.012857143,0.042190476,0.383619048,0.013285714,0.060647049,0.064274979,0.014670845,0.060616016,0.064469816,0.015094844
'mij',1,1,0.127304,0.52131,45,8,1.000245303,0.00197197,0.000578329,0.128001197,0.522007197,37.49540113,0.126606803,0.520612803,37.50459887,0.037,0.339738095,0.009142857,0.035547619,0.341095238,0.009666667,0.053356337,0.056640376,0.010803409,0.053327864,0.056894379,0.011322193,0.000678236,0.1306038,0.516899208,42.343105,0.129195545,0.51537917,42.34937635,0.043619048,0.382333333,0.012761905,0.041904762,0.383857143,0.013380952,0.060649794,0.064226322,0.014576437,0.060605752,0.06451389,0.015189111
'mij',1,0,0.127304,0.52131,45,10,1.00027447,0.002206406,0.000631899,0.128084082,0.522090082,37.4948544,0.126523918,0.520529918,37.5051456,0.037095238,0.339666667,0.009119048,0.035452381,0.341166667,0.009690476,0.053361614,0.056628282,0.010779789,0.053322587,0.056906474,0.011345813,0.000801153,0.130695434,0.517021877,42.34581126,0.129122737,0.51526033,42.35120762,0.043738095,0.382261905,0.012714286,0.041809524,0.383952381,0.013452381,0.060657025,0.064211021,0.014529551,0.060608401,0.064537791,0.015259416
